idEscola,Escola,Endereço,Bairro,Telefone,RPA,CEP,Latitude,Longitude
19,NOVO MANGUE,AVENIDA CENTRAL 511 ,ILHA JOANA BEZERRA,8133554536,1,50080705,-8.0749373,-34.9036625
20,PAO DA VIDA,08 ,ILHA JOANA BEZERRA,8188119382,1,50080340,-8.05389,-34.88111
21,PCR - SECRETARIA DE EDUCACAO,DO APOLO 925 4? ANDAR ,RECIFE,,1,50050470,-8.05389,-34.88111
22,PEDRO AUGUSTO,BARAO DE SAO BORJA 279 ,BOA VISTA,8133554170,1,50070310,2.81972,-60.67333
23,PORTO DIGITAL DO RECIFE,50 ,RECIFE,8133556338,1,50030140,-8.05389,-34.88111
24,PROFESSOR FRANCISCO DO AMARAL LOPES,AGAMENON MAGALHAES S/N ,SANTO AMARO,8185518327,1,50100010,-27.68806,-48.77861
25,PROFESSOR JOSE DA COSTA PORTO,CABO EUTROPIO 660 ,ILHA JOANA BEZERRA,81997172716,1,50090590,-8.0719054,-34.9003121
26,PROFESSOR JOSUE DE CASTRO,MARTIN LUTHER KING 368 COQUE ,ILHA JOANA BEZERRA,8133553642,1,50080090,,
27,PROG MANUEL BANDEIRA DE FORMACAO DE LEITORES,FREI MATIAS TEVES S/N ,COELHOS,8133555934,1,50070450,16.54583,-92.8275
28,REITOR JOAO ALFREDO,SENADOR JOSE HENRIQUE 160 ,ILHA DO LEITE,8133553804,1,50070460,,
29,SANTO AMARO,NORTE 570 ,SANTO AMARO,8133553696,1,50100000,-8.05389,-34.88111
30,SAO DOMINGOS SAVIO,DOS CASADOS 164 ,SANTO AMARO,8133554862,1,50110520,-8.05389,-34.88111
31,SECRETARIA EXECUTIVA DE TECNOLOGIA CETEC,OLIVEIRA ,BOA VISTA,8133555450,1,,44.93645,7.54015
32,SEDE DA SABEDORIA,ARTEMIS 30 ,SANTO AMARO,8133553442,1,50110470,-8.05389,-34.88111
33,SERGIO LORETO,RUA DO MUNIZ S/N ,SAO JOSE,8133553228,1,50020068,-8.05389,-34.88111
34,SITIO DO CEU,ANCHIETA 85 ,SANTO AMARO,8133554553,1,50110150,-8.0413147,-34.8805242
35,SOLDADO JOSE ANTONIO DO NASCIMENTO BOA VISTA,BENFICA 86 ,BOA VISTA,8199946677,1,50070090,45.60755,13.73062
36,UTEC JORNALISTA CRISTIANO DONATO,DA IMPERATRIZ TEREZA CRISTINA 182 ,BOA VISTA,8133553972,1,50060120,27.43449,82.40281
37,UTEC NOBREGA,OLIVEIRA LIMA 824 ,BOA VISTA,,1,50050390,-8.05389,-34.88111
38,UTEC SANTO AMARO,DA SAUDADE 303 ,SANTO AMARO,8133553800,1,50100200,-8.05389,-34.88111
39,VOVO ARTUR,BEIRA RIO S/N ,COELHOS,8133554372,1,50060670,-8.05389,-34.88111
40,ALDA ROMEU,CORREGO DO DEODATO 685 ,AGUA FRIA,8133553490,2,52211250,-8.05389,-34.88111
41,ALTO DO MARACANA,VILA FLOR 356 ,DOIS UNIDOS,8133554887,2,52150141,-8.0024171,-34.909116
42,ALTO DO PASCOAL,LADEIRA DE PEDRA 1265 ,AGUA FRIA,8133554221,2,52111430,-23.35611,-46.87694
43,ALTO SANTA TEREZINHA,ANIBAL BENEVOLO SN ,BEBERIBE,8133553856,2,52131000,-8.05389,-34.88111
44,AME AS CRIANCAS,ARLINDO CISNEIROS 23 ,BOMBA DO HEMETERIO,8133553208,2,52111175,-8.05389,-34.88111
45,ANA MAURICIA WANDERLEY,JOAO UZEDA LUNA 813 ,AGUA FRIA,8133554890,2,52111310,-23.35611,-46.87694
46,ANITA PAES BARRETO,GERONCIO FALCAO 198 ,FUNDAO,8134984125,2,52221010,-8.0148662,-34.8873311
47,ANTONIO HERACLIO DO REGO,MANOEL SILVA 134 ,AGUA FRIA,8133554228,2,52120140,-8.0187867,-34.8891043
48,ANTONIO LUIZ,SAO JOAO BATISTA 134 ,AGUA FRIA,8133553792,2,52121080,-8.05389,-34.88111
49,ANTONIO LUIZ - ANEXO I,DAS MOCAS 1470 ,AGUA FRIA,8133553792,2,52121070,-23.35611,-46.87694
50,ANTONIO TIBURCIO,TAMBOARA 356 ,ALTO SANTA TEREZINHA,8133556873,2,52211005,-8.05389,-34.88111
51,CAJUEIRO,ALICE TIBIRICA 453 ,CAJUEIRO,8133556266,2,52221310,-8.05389,-34.88111
52,CAMPINA DO BARRETO,VIRGILIO DE MELO FRANCO 28 ,CAJUEIRO,8133554212,2,52221280,-9.71667,-36.45
53,CENTRO EDUCACIONAL COMUNITARIO REDENCAO,25 ,CAMPINA DO BARRETO,8173322834,2,52121270,-8.05389,-34.88111
54,CENTRO EDUCACIONAL MAGNO DELAMADRI,361 ,LINHA DO TIRO,8132994996,2,52131532,-8.05389,-34.88111
55,CENTRO EDUCACIONAL MIRIAM IMELDA,79 A ,DOIS UNIDOS,,2,52150060,-8.05389,-34.88111
56,CENTRO EDUCACIONAL MUNDO INFANTIL DO CHIE,126 ,CAMPO GRANDE,8183500758,2,52031475,-20.44278,-54.64639
57,COMPOSITOR CAPIBA,PROFESSOR OTHON PARAISO 375 ,TORREAO,8133553768,2,52030252,-8.05389,-34.88111
58,COMPOSITOR LEVINO FERREIRA,CORREGO JOSE GRANDE 1441 TERMINAL ,ALTO JOSE BONIFACIO,8133554922,2,52080040,34.46732,-83.57378
59,CRECHE CAMPINA DO BARRETO,S/N,PEIXINHOS,,2,,-8.05389,-34.88111
60,CRECHE CORREGO DO DEODATO,S/N ,AGUA FRIA,,2,52211150,-8.05389,-34.88111
61,CRECHE ESCOLA CORDEL INFANTIL - CECI,200 ,CAMPINA DO BARRETO,8199893568,2,52121350,-8.05389,-34.88111
62,CRECHE ESCOLA MUNICIPAL JOAO AMAZONAS,DA BELA VISTA 284 ,DOIS UNIDOS,8133554513,2,52140340,60.65647,23.12255
63,DE AGUA FRIA,DOS CRAVEIROS 500 ,CAMPINA DO BARRETO,8133554488,2,52121370,-8.05389,-34.88111
64,DE AGUA FRIA - ANEXO,OLIMPIO TORRES S/N ,CAMPINA DO BARRETO,8133554489,2,52121050,,
65,DE BEBERIBE,MELANIO DE BARROS CORREIA 25 ,BEBERIBE,8133553652,2,52131542,-8.0034085,-34.899024
66,DEUS E AMOR,LADEIRA DE PEDRA 395 ,AGUA FRIA,8133554216,2,52111430,-23.35611,-46.87694
67,DEUS E AMOR - ANEXO I,MANOEL LOPES SN ,AGUA FRIA,8133554216,2,52111511,45.7431,8.31515
68,ENGENHEIRO EDINALDO MIRANDA DE OLIVEIRA,INACIO GALVAO DOS SANTOS 304 ,ENCRUZILHADA,8133553977,2,52041210,-23.96083,-46.33361
69,ESCOLA COMUNITARIA MARIA ESTEVAO,241 ,DOIS UNIDOS,8185953115,2,52140460,-8.05389,-34.88111
70,IRMA TEREZINHA BATISTA - ANEXO I,DOS CRAVEIROS 273 ,CAMPINA DO BARRETO,8133554954,2,52121370,-9.16667,-60.63333
71,IRMA TEREZINHA BATISTA PROJ NOVO VIVER,IGUATU S/N ,CAMPINA DO BARRETO,8133553588,2,52121030,18.63333,-69.05
72,JOSEFINA MARINHO,CORREGO JOSE GRANDE 1316 ,ALTO JOSE DO PINHO,8133554962,2,52080040,,
73,LADJANE BANDEIRA,SEVERINO CARNEIRO 135 ALTPASCOAL ,AGUA FRIA,8133556486,2,52211260,-8.05389,-34.88111
74,LUIZ LUA GONZAGA,AURILANDIA 54 ,BOMBA DO HEMETERIO,8133553860,2,52111622,-8.0192809,-34.9023677
75,MANOEL ANTONIO DE FREITAS,SAO JERONIMO 147 ,ALTO SANTA TEREZINHA,8192645224,2,52191390,45.60634,9.30797
76,MARIO MELO,OLIVEIRA FONSECA 318 ,CAMPO GRANDE,8133553713,2,52040250,-8.0284112,-34.8795782
77,MONSENHOR VIANA,TAGUATINGA S/N ,BEBERIBE,8133554136,2,52130260,-8.0045735,-34.8984304
78,MONTEIRO LOBATO,JARDIM BRASILIA S/N LADO IMPAR ,PEIXINHOS,8133553991,2,52040365,-8.05389,-34.88111
79,NASCEDOURO DE PEIXINHOS,JARDIM BRASILIA 275 ,PEIXINHOS,,2,52040365,-8.05389,-34.88111
80,NOVA AURORA,ANTONIO MEIRA 169 ,AGUA FRIA,8133554534,2,52111620,-8.0180235,-34.9028952
81,NOVO HORIZONTE,ANIBAL BENEVOLO 1045 ,AGUA FRIA,8133553422,2,52130220,-8.05389,-34.88111
82,OLINDINA MONTEIRO DE OLIVEIRA FRANCA,BELA VISTA 115 ,DOIS UNIDOS,8132327900,2,52140340,-7.99846,-34.91852
83,PASTOR PAULO LEIVAS MACALAO,ALTEROSA 27 ,LINHA DO TIRO,8133553418,2,52131410,-7.99487,-34.91705
84,PAULO VI,GUAIRA 200 ,LINHA DO TIRO,8133553965,2,52131210,-8.0075911,-34.904653
85,POETA JONATAS BRAGA,SAO CAETANO 545 ,CAMPO GRANDE,8133553581,2,52031070,-8.05389,-34.88111
86,POETA SOLANO TRINDADE,MANOEL SILVA 134 ,AGUA FRIA,8133554186,2,52120520,-8.05389,-34.88111
87,PROF JANDIRA BOTELHO PEREIRA DA COSTA,FARIAS NEVES SN ,CAMPO GRANDE,8192533406,2,52040320,14.5,-14.25
88,PROFESSOR RICARDO GAMA,GUAIRA 160 ,LINHA DO TIRO,8133553690,2,52131210,-8.05389,-34.88111
89,PROFESSORA HELIA MARIA PEREIRA,ALICE GOMES 37 ,CAMPO GRANDE,8133553414,2,52031212,-20.44278,-54.64639
90,SANTA CECILIA,ALICE GOMES 49 ,CAMPO GRANDE,8133553841,2,52031212,-8.05389,-34.88111
91,SAO JOAO BATISTA,ANIBAL BENEVOLO 1800 FUNDAO ,LINHA DO TIRO,8132327808,2,52130220,-7.99487,-34.91705
92,SERVICO SOCIAL DE BELEM,RODOLFO DE HOLANDA 248 ,ENCRUZILHADA,8191620752,2,52041260,-8.0324851,-34.8942416
93,TIA EMILIA,PEDRO BATISTA S/N ,DOIS UNIDOS,8133556466,2,52150150,-8.05389,-34.88111
94,UNIDOS VENCEREMOS,CORREGO JOSE GRANDE 126A ,ALTO SANTA TEREZINHA,8192667624,2,52080040,-19.52309,-42.61247
95,UTEC ITINERANTE DE INFORMATICA MOVEL 2,GUAIRA 160 ,LINHA DO TIRO,8133553023,2,52131210,-7.99487,-34.91705
96,UTEC MOVEL 1,MELANIO DE BARROS 54 ,BEBERIBE,8191479705,2,51030230,-8.05389,-34.88111
97,VILA IMPERIAL,PEDRO DE MELO PEDROSA 10 ,ARRUDA,8133554999,2,52120350,-8.05389,-34.88111
98,WALDEMAR DE SOUZA CABRAL,ANTONIO MEIRA 73 ,AGUA FRIA,8133556849,2,52111620,-23.35611,-46.87694
99,ZACARIAS DO REGO MACIEL,ANIBAL BENEVOLO 1536 A ,LINHA DO TIRO,8133556925,2,52131000,19.0,-70.66667
100,ALTO DA GUABIRABA,PRESIDENTE COSTA E SILVA S/N ,BREJO DA GUABIRABA,8133554036,3,52291230,-7.9918845,-34.9333088
101,ALTO DO REFUGIO - IVAN NEVES - ANEXO I,ALTO DO REFUGIO 255 ,BREJO DE BEBERIBE,8133556823,3,52191100,19.0,-70.66667
102,ALTO DO REFUGIO IVAN NEVES,ALTO DO REFUGIO 250 ,BREJO DE BEBERIBE,8133554468,3,52191000,-8.0000038,-34.9252775
103,ALTO JARDIM PROGRESSO,ALTO JARDIM PROGRESSO 300 ,NOVA DESCOBERTA,8133553430,3,52190510,-7.75,-38.78333
104,ALTO JARDIM PROGRESSO - ANEXO I,SOBRAL PINTO 300 ,NOVA DESCOBERTA,8133554430,3,52190115,59.21639,23.6725
105,ARQUITETO ALEXANDRE MUNIZ DE OLIVEIRA,ALTO DO VENANCIO 120 ,CORREGO DO JENIPAPO,8133553579,3,52291023,,
106,ASSOCIACAO CONSTRUINDO A CIDADANIA/PROJETO AMOR E ESPERANCA,35 ,BREJO DE BEBERIBE,8199302643,3,52191190,-9.40611,-38.21472
107,ASSOCIACAO PAI E FILHOS DO SABER,1012 ,NOVA DESCOBERTA,8187690702,3,52091220,-7.75,-38.78333
108,BOA ESPERANCA,PEDRA BONITA 80 ,VASCO DA GAMA,8133556482,3,52280524,-8.0187222,-34.9199333
109,BOLA NA REDE,DOUTOR ARTHUR ORLANDO DE ANDRADE BEZERRA 100 ,GUABIRABA,8191674563,3,52490220,,
110,BREJO DO BEBERIBE,1097 ,VASCO DA GAMA,8133554127,3,52081550,-8.05389,-34.88111
111,CECILIA MEIRELLES,MATER LINCH 189 MADRE ,MACAXEIRA,8133554914,3,52090300,-8.05389,-34.88111
112,CELESTE VIDAL,JARDIM ELDORADO S/N ,BREJO DA GUABIRABA,8133550212,3,52291655,-8.05389,-34.88111
113,CENTRO EDUCACIONAL CRISTO SALVA,370 ,MANGABEIRA,8183500758,3,52240140,-8.05389,-34.88111
114,CHICO SCIENCE,CATIGUA 112 ,VASCO DA GAMA,8192281580,3,52081110,-8.05389,-34.88111
115,CMEI CREUSA ARCOVERDE DE FREITAS CAVALCANTI,CONSELHEIRO NABUCO S/N ,CASA AMARELA,8133553902,3,52070010,35.02287,-93.04767
116,CORREGO DA AREIA,CORREGO DA AREIA 5449 ,NOVA DESCOBERTA,8192975522,3,52091220,-7.75,-38.78333
117,CORREGO DA BICA,CORREGO DA BICA SN ,PASSARINHO,8133554456,3,52390030,-8.05389,-34.88111
118,CORREGO DO EUCLIDES,CORREGO DO EUCLIDES 48 ,MORRO DA CONCEICAO,8133553494,3,52280410,9.52229,138.0854
119,CRECHE ESCOLA CLUBE DE MAES DOS MORADORES DO ALTO DO REFUGIO,468 ,NOVA DESCOBERTA,8186632044,3,52191100,34.46732,-83.57378
120,CRECHE ESCOLA RECIFE ALTO DO MANDU,S/N ,MONTEIRO,8133553853,3,52071319,-8.05389,-34.88111
121,CRECHE INSTITUTO TERNURA,102 ,BREJO DE BEBERIBE,8187311525,3,52191240,-8.05389,-34.88111
122,CRIANCA FELIZ,VISCONDE SA BANDEIRA S/N ,ALTO JOSE BONIFACIO,8133554826,3,52080365,-8.05389,-34.88111
123,DA GUABIRABA,CASSITERITA 395 A ,BREJO DA GUABIRABA,8133554200,3,52291140,-8.05389,-34.88111
124,DA GUABIRABA ANEXO II,CASSITERITA S/N ,BREJO DA GUABIRABA,8133554200,3,52291140,-8.05389,-34.88111
125,DA MANGABEIRA,NICEAS ARCOVERDE GUSMAO S/N ,MANGABEIRA,8191004334,3,52110260,-8.05389,-34.88111
126,DE ALTAS HABILIDADES E SUPERDOTACAO,CONEGO BARATA 195 ,TAMARINEIRA,8132653516,3,52051020,-8.05389,-34.88111
127,DE CASA AMARELA,CORREGO DA AREIA 287 ,MACAXEIRA,8192884414,3,52191040,-8.01172,-34.92999
128,DE SURDOCEGUEIRA E DEFICIENCIA MULTIPLA,CONEGO BARATA 195 ,TAMARINEIRA,8132653516,3,52051020,-8.05389,-34.88111
129,DE TRANSTORNO GLOBAL DO DESENVOLVIMENTO,CONEGO BARATA 195 ,TAMARINEIRA,8132653516,3,52051020,-8.05389,-34.88111
130,DEOCLECIANO OLIVEIRA DE LIMA,SANHARO 568 ,MACAXEIRA,8133554910,3,52091220,-8.05389,-34.88111
131,DEP FERNANDO SAMPAIO ANX I ANTONIO FELIX,COLINA DOS ANDES 105 ,NOVA DESCOBERTA,8133554930,3,52090255,46.36983,22.96062
132,DEPUTADO FERNANDO SAMPAIO,ALTO ANTONIO FELIX 105 ,NOVA DESCOBERTA,8133554930,3,52090255,-7.75,-38.78333
133,DIACONO ABEL GUEIROS,NORTE MIGUEL ARRAES DE ALENCAR 7696 ,MACAXEIRA,8133553705,3,52090260,-8.0144987,-34.9312447
134,DOM HELDER CAMARA,MARQUES DO PARANA 320 ,ESPINHEIRO,8133553668,3,52021050,-8.05389,-34.88111
135,DOM JOSE LAMARTINE SOARES,ALTO DO EUCALIPTO S/N ,VASCO DA GAMA,8133556302,3,52081070,-8.0082885,-34.9195324
136,DOM JOSE LAMARTINE SOARES - ANEXO I CVC,ALTO DO EUCALIPTO S/N ,VASCO DA GAMA,8133556302,3,52081070,19.0,-70.66667
137,DONA CARMELITA MUNIZ DE ARAUJO,DA MUMBECA 100 ,GUABIRABA,8134375595,3,52490005,-8.41667,-35.66667
138,DOUTOR CAETE,ALVARANS 222 ,NOVA DESCOBERTA,8133554496,3,52190210,-8.05389,-34.88111
139,DRAOMIRO CHAVES AGUIAR,SANTA ISABEL 655 ,CASA AMARELA,8133554072,3,52070245,-8.05389,-34.88111
140,ESCOLA COMUNITARIA TOM E JERRY,82 ,NOVA DESCOBERTA,8185703438,3,52091220,-8.05389,-34.88111
141,ESCOLA NOSSA CASA DO CHAFARIZ - ENCC,243 ,MORRO DA CONCEICAO,8199685906,3,52280041,9.52229,138.0854
142,ESCOLA NOVO RUMO,410 ,MACAXEIRA,,3,52090475,-8.05389,-34.88111
143,FLOR DA COMUNIDADE,RUA 111 ,MORRO DA CONCEICAO,8133554838,3,52280040,-8.05389,-34.88111
144,FLOR DO BAIRRO DA GUABIRABA,CASSITERITA S/N ,BREJO DA GUABIRABA,8133554842,3,52291140,-8.41667,-35.66667
145,HISTORIADOR FLAVIO GUERRA,ALTO DA TELHA 320 ,PASSARINHO,8133554504,3,52390040,-7.9853663,-34.9299168
146,HISTORIADOR FLAVIO GUERRA - ANEXO I,ALTO DA TELHA 320 ,PASSARINHO,8133554504,3,52390040,26.52527,90.49066
147,IRMA DULCE,ADALGISA 09 ,ESPINHEIRO,8133554295,3,52021110,-8.05389,-34.88111
148,JULIO VICENTE ALVES DE ARAU ANX I CERVAC,DA CONCEICAO 211 ,MORRO DA CONCEICAO,8133556918,3,52280040,9.52229,138.0854
149,JULIO VICENTE ALVES DE ARAUJO,DA CONCEICAO 468 ,MORRO DA CONCEICAO,8133556918,3,52280255,-8.0190827,-34.9148608
150,MARDONIO COELHO,SENADOR MILTON CAMPOS S/N ,VASCO DA GAMA,8133553027,3,52081170,-8.05389,-34.88111
151,MARGARIDA DE SIQUEIRA PESSOA,CORREGO JOSE GRANDE 1307 ,ALTO JOSE BONIFACIO,8133554970,3,52080040,-8.0178898,-34.9105036
152,MARLUCE SANTIAGO DA SILVA,CONCRIZ S/N ,PASSARINHO,8133554974,3,52170010,-8.05389,-34.88111
153,MARLUCE SANTIAGO DA SILVA - ANEXO I,GALO DE CAMPINA 211 ,PASSARINHO,8133554974,3,52170020,-9.16667,-60.63333
154,MAURICIO DE NASSAU,DOUTOR EURICO CHAVES 677 ,ALTO DO MANDU,8133556322,3,52071225,22.36667,75.38333
155,MENINO JESUS DE CASA FORTE,SAMUEL DE FARIAS 127 ,SANTANA,8132696094,3,52060430,-0.05833,-51.18167
156,MERCIA MARIA BEZERRA COSTA,VEREADOR OTACILIO AZEVEDO 1030 ,BREJO DE BEBERIBE,8132324526,3,52081550,-9.40611,-38.21472
157,MONTE DAS OLIVEIRAS,ALTO DA BRASILEIRA 07 ,NOVA DESCOBERTA,8133556278,3,52091260,-7.75,-38.78333
158,MUNDO ESPERANCA,ESTRADA DOS PINTOS 900 ,SITIO DOS PINTOS,8133550067,3,52171050,-8.0141266,-34.9565597
159,NADIR COLACO,NORTE MIGUEL ARRAES DE ALENCAR 2173 ,MACAXEIRA,8133553971,3,52090260,-8.01172,-34.92999
160,NOSSA SENHORA DAS DORES,DOS CAETES 427 ,APIPUCOS,8192841269,3,52071390,-8.03333,-34.93333
161,NOSSA SENHORA DE FATIMA,ALTO DO RESERVATORIO 720 BREJO GUAB ,NOVA DESCOBERTA,8133553257,3,52091210,-9.40611,-38.21472
162,NOVA DESCOBERTA,JORNALISTA WALDETE AGRA 100 ,PASSARINHO,8133553612,3,52390000,-7.9878087,-34.9298233
163,OCTAVIO DE MEIRA LINS,JOSE REBOUCAS 141 ,VASCO DA GAMA,8133553616,3,52081520,9.52229,138.0854
164,PADRE ANTONIO HENRIQUE,VISCONDESSA DO LIVRAMENTO 290 ,DERBY,8133553836,3,52010065,-8.05389,-34.88111
165,PADRE ANTONIO HENRIQUE ANEXO I,PAISSANDU 112 ,BOA VISTA,8133553837,3,50070200,2.81972,-60.67333
166,PADRE DONINO,442 ,CASA FORTE,8133554138,3,52061420,-8.05389,-34.88111
167,PEDRINHO,BARAO DE BOTOVI S/N ,NOVA DESCOBERTA,8133556857,3,52090080,-8.05389,-34.88111
168,PEDRO ALCANTARA,TRES MORROS 43 ,CORREGO DO JENIPAPO,8133556570,3,52091190,-8.0022715,-34.9375667
169,POETA JOAQUIM CARDOSO,CORREGO DA AREIA 950 ,NOVA DESCOBERTA,8199264825,3,52091220,-7.75,-38.78333
170,PRESBITERO JOSE BEZERRA,NORTE 7636 ,MACAXEIRA,8133554011,3,52090260,-8.05389,-34.88111
171,PROFESSOR ADERBAL GALVAO,VASCO DA GAMA 399 ,VASCO DA GAMA,8133556980,3,52081030,9.52229,138.0854
172,PROFESSOR ARIANO VILAR SUASSUNA,DON MANUEL DE MEDEIROS S/N ,DOIS IRMAOS,8133556300,3,52171900,,
173,PROFESSOR JOSE SOARES DA SILVA,BARAO DE BOTOVI 5785 ,NOVA DESCOBERTA,8133554086,3,52090080,46.60131,6.73085
174,PROFESSOR MAURO MOTA,ALTO DA BRASILEIRA S/N ,NOVA DESCOBERTA,8133553844,3,52091260,-8.0002616,-34.9311575
175,PROFESSOR MOACYR DE ALBUQUERQUE,CORREGO DA AREIA S/N ,NOVA DESCOBERTA,8199216018,3,52191040,-8.0016173,-34.925155
176,PROFESSOR NILO PEREIRA,DO ARRAIAL 4900 ,CASA AMARELA,8192433411,3,52070230,-8.0271734,-34.9257032
177,PROFESSOR NILO PEREIRA ANEXO APAE,DO ARRAIAL 4744 ,MONTEIRO,8133553522,3,52070230,-7.88944,-37.12
178,PROFESSORA ALMERINDA UMBELINO DE BARROS,VASCO DA GAMA S/N ,VASCO DA GAMA,8191131316,3,52081030,15.39585,73.81568
179,RENATO ACCIOLY CARNEIRO CAMPOS,SANTA ROSA 140 ,NOVA DESCOBERTA,8133556590,3,52190110,-7.75,-38.78333
180,ROZEMAR DE MACEDO LIMA,AVENIDA NORTE 5400 ,CASA AMARELA,8193193662,3,52280680,-22.94057,-43.47007
181,SANTA MARIA,ACAIACA 70 ,ALTO JOSE DO PINHO,8133554549,3,52210240,-8.0219147,-34.9087428
182,SANTA MARIA GORETTI,SANTA MARIA GORETTI 300 ,VASCO DA GAMA,8133556995,3,52280640,9.52229,138.0854
183,SAO CRISTOVAO,CASSITERITA 395 ,BREJO DA GUABIRABA,8133556013,3,52291140,-7.99328,-34.9353532
184,SAO JOAO,DO CANAL 50 ,MACAXEIRA,8133554360,3,52071430,-8.05389,-34.88111
185,SEVERINA LIRA,DA BOA VONTADE 110 ,TAMARINEIRA,8133556958,3,52110070,-8.05389,-34.88111
186,SOCIOLOGO GILBERTO FREYRE,PROFESSOR CLAUDIO SELVA 350 ,DOIS IRMAOS,8133550072,3,52171269,-29.58028,-51.08528
187,UTEC LARGO DOM LUIS RPA 03,LARGO DOM LUIS S/N ,VASCO DA GAMA,8133553908,3,52280210,15.39585,73.81568
188,UTEC MOVEL 3,DOM MANOEL DE MEDEIROS ,DOIS IRMAOS,,3,52171900,-29.58028,-51.08528
189,UTEC SITIO TRINDADE,ESTRADA DO ARRAIAL 3259 ,CASA AMARELA,,3,52051380,-22.94057,-43.47007
190,VIRGEM PODEROSA,LEONARDO BEZERRA CAVALCANTI 116 ,PARNAMIRIM,8133554224,3,52060035,-8.0361334,-34.9083744
191,ALCIDES RESTELLI TEDESCO,FAUSTO CARDOSO 653 ,MADALENA,8133011836,4,50720310,-8.05389,-34.88111
192,ARRAIAL NOVO DO BOM JESUS,DO FORTE 1340 ,TORROES,8133554123,4,50640000,-8.0586751,-34.9318941
193,ASSOCIACAO CRISTA FEMININA,68 ,TORRE,8133553869,4,50710220,-8.05389,-34.88111
194,ASSOCIACAO INSTITUTO DE DESENVOLVIMENTO HUMANO MARIA LUCENA,43 ,CORDEIRO,8198816815,4,50731125,-22.48194,-47.45667
195,CASARAO DO BARBALHO,DO BARBALHO 1595 ,IPUTINGA,8133553864,4,50800290,-8.0288372,-34.93475
196,CASINHA AZUL,SAO MATEUS S/N ,IPUTINGA,8133556913,4,50731370,-8.05389,-34.88111
197,CELIA ARRAES,JOSE NOYA 131 ,VARZEA,8133554918,4,50810360,-8.0391953,-34.9588543
198,CENTRO COMUNITARIO SEMENTE DO MUNDO NOVO,179 ,TORROES,,4,50761150,-8.05389,-34.88111
199,CENTRO DE EDUCACAO COMUNITARIA GABRIELA FELIZ,23 ,CAXANGA,8134534797,4,50980460,-8.05389,-34.88111
200,CENTRO DE PROGRESSAO NOSSA SENHORA APARECIDA,160 ,CORDEIRO,8199844397,4,50721330,-8.05389,-34.88111
201,CENTRO DE PROGRESSAO NOSSA SENHORA APARECIDA - ANEXO I,383 ,CORDEIRO,8199605987,4,50821080,20.75,85.5
202,CMEI DARCY RIBEIRO,ODETE MONTEIRO 450 ,CORDEIRO,8132366048,4,50711440,-8.05389,-34.88111
203,CRECHE ESCOLA RECIFE MIGUEL ARRAES DE ALENCAR,ARISTONCIO DE OLIVEIRA 189 ,IPUTINGA,8199755526,4,50690490,51.5,10.5
204,CRECHE LUIZA ALMEIDA- AGMAT,1069 ,TORROES,8198514912,4,50640040,-8.05389,-34.88111
